Lab,Number Positives
LAB24 INC,468
"PANCARE OF FLORIDA, INC",433
LEE MEMORIAL HOSPITAL LAB,410
NCH HEALTHCARE SYSTEM MICROBIOLOGY LAB,393
ADVANCE MEDICAL OF NAPLES,290
GENESIS REFERENCE LABORATORIES,216
MILLENNIUM PATHOLOGY,188
MILLENNIUM PATHOLOGY/MICROBIOLOGY LABORATORY,120
VAMC WEST PALM LAB,116
HOLY CROSS HOSPITAL LABORATORY,100
MILLENNIUM LAB SERVICES,98
JAMES A. HALEY VETERANS MICRO LAB,98
STEWARD REFERENCE LABORATORY,97
ADVENTHEALTH LAB,92
CENTRA CARE,87
VETERANS AFFAIRS MEDICAL CENTER LAB,83
NONA SCIENTIFIC,72
GESSLER CLINIC,71
FLORIDA COMMUNITY HEALTH CENTERS INC,67
FAST TRACK URGENT CARE CENTER,55
GENE BY GENE,55
INTERCOASTAL MEDICAL GROUP,50
MILLENIUM PHYSICIANS GROUP,48
UNITED CLINICAL LABORATORY LLC,43
LEON MEDICAL CENTER,40
HEALTH FIRST-HOLMES REGIONAL,38
NAVY HOSPITAL,38
WUESTHOFF REF LABORATORY,38
TOM LEE COMMUNITY HEALTH CENTER,37
MORTON PLANT HOSPITAL,35
MAVERICK LABS,34
SANTA ROSA MEDICAL CENTER,34
AMELIA URGENT CARE,32
DYNAMIC MEDICAL USA,30
LAB CORP TAMPA,30
DESOTO MEMORIAL HOSPITAL LAB,30
DEPARTMENT OF VETERANS AFFAIRS JAMES A. HALEY VETERANS HOSPITAL,27
INTEGRITY LABORATORIES,26
TAMPA GENERAL HOSPITAL CLINICAL LAB,25
SUNCOAST LABS,25
ST JOSEPHS CHILDRENS OUTREACH,23
ST. ANTHONY'S HOSPITAL,22
BAYFRONT HEALTH BROOKSVILLE,21
JACKSON MEMORIAL HOSPITAL,21
ST. MARY'S MEDICAL CENTER LAB,20
MIAMI VAMC,20
BROWARD HEALTH CORAL SPRINGS EPIDEMIOLOGY DEPT,20
MIAMI BEACH COMMUNITY HEALTH CENTER,20
NEW PLANT CITY FAMILY CARE,19
ACCU REFERENCE MEDICAL LAB,19
QUEST DIAGNOSTICS INC.,19
INTEGRATED REGIONAL LABORATORIES - LARGO,19
325TH MEDICAL GROUP,19
KENDALL REGIONAL MEDICAL CENTER LAB,18
ALLSOUTH URGENT CARE,18
WATSON CLINIC LLP SOUTH,17
MIAMI VA HEALTHCARE SYSTEM,17
HEALTH FIRST-PALM BAY,17
LABORATORY SPECIALISTS OF MICHIGAN,16
MY CLINICAL LAB,16
IPSUM DIAGNOSTICS,15
PRIVA PATH LABS,15
UNITED CLINICAL LABS,15
HEALTH CENTRAL HOSPITAL,14
PACIFIC ANALYTICS,14
QUEST DIAGNOSTICS INCORPORATED,14
CORE DIAGNOSTIC LABORATORIES,14
PHYSICIANS REGIONAL HEALTHCARE SYSTEM,14
ST. JOSEPHS HOSPITAL,13
MEDCOMP SCIENCES,13
CENTRA CARE CONWAY,13
MILLENNIUM PHYSICIAN GROUP LCC,13
XERA MED RESEARCH,13
CAPE CANAVERAL HOSPITAL,13
GENPATH,13
LAB,12
WHITE WILSON MEDICAL CENTER CLINIC,12
US BIOTEK LABORATORIES,12
SHORELINE PHYSICIAN GROUP,12
ALL CHILDREN'S HOSPITAL/LAB,12
BIO-REFERENCE LABORATORIES,12
BROWARD DIALYSIS,12
DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,12
FLORIDA COMMUNITY HEALTH CENTER OF ST. LUCIE,11
JACKSON HEALTH SYSTEM,11
BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM,11
DELRAY MEDICAL CENTER LAB,11
AMERICAN ESOTERIC LABORATORIES,11
LAB INTERMARKET FACILITY LAB,11
VIERA HOSPITAL,10
ESCAMBIA COMMUNITY CLINIC,10
BROWARD HEALTH CARE,10
MED ARBOR,10
"SELECT REFERENCE LABORATORIES, LLC",9
VENICE REGIONAL MEDICAL CENTER,9
BAPTIST CLAY,9
PATHGROUP LABS,9
ST. JOSEPH HOSPITAL LAB,9
MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,9
ST JOSEPHS HOSPITAL,8
WESTPAC LABS,8
HEALTH FIRST-VIERA HOSPITAL,8
THE COMMONWEALTH OF MASSACHUSETTS,8
NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,8
MOLECULAR TESTING LABS,8
GENEUS DIAGNOSTICS,8
MAYO CLINIC DEPT OF LAB MED PATHOLOGY,8
WATSON CLINIC LLP MAIN,7
SOUTHEAST ALABAMA MEDICAL CENTER,7
NORTH BAY HOSPITAL,7
,1
PREMIER MEDICAL LABORATORY SERVICES,7
LEE MEMORIAL LAB GULF COAST,6
DYNAMIC DNA LAB,6
AMERICAN HEALTH ASSOCIATES OF TAMPA,6
PENSACOLA PEDIATRICS,6
VAMC,6
SACRED HEART HEALTH SYSTEM,6
VENICE REGIONAL MEDICAL LAB SERVICES,6
WOLFSON CHILDREN'S HOSPITAL,6
ST. JOSEPH'S HOSPITAL LAB,6
NIGHT LITE PEDIATRICS URGENT CARE,6
CLINICAL RESEARCH SEQUENCING PLATFORM,6
ST VINCENTS MEDICAL CENTER RIVERSIDE NURSING,6
PERSONALIZED GENETIC TESTING,6
CLEVELAND CLINIC,6
DOCTOR'S IN HOUSE LAB,6
ADVENT HEALTH CENTRA CARE: WATERFORD LAKES,5
GENESIS DIAGNOSTICS,5
HEALTH FIRST CAPE CANAVERAL HOSPITAL,5
EMERGENCY PHYSICIANS MEDICAL CENTER,5
ST ANTHONY NORTH,5
AEL KNOXVILLE,5
BIOTECH,5
JFK MEDICAL CENTER NORTH LAB,5
MEDICAL LABORATORY DIAGNOSTICS,5
BOCA RATON REGIONAL HOSPITAL LAB,5
"CLINICAL PATHOLOGY LABORATORIES, INC.",5
BROWARD COUNTY HEALTH DEPT.,5
TAMIAMI LAB MILLENNIUM,5
ADVENTHEALTH CENTRA CARE ORMOND BEACH,5
WUESTHOFF MEDICAL CENTER-MELBOURNE,5
LABCORP - NAPLES,4
BOND CLINIC,4
UMHC/SYLVESTER AT KENDALL,4
COLORADO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,4
MERCY HOSPITAL MIAMI LAB,4
PEDIATRIC HEALTH CARE ALLIANCE,4
MISSOURI DEPARTMENT OF HEALTH AND SENIOR SERVICES,4
MAYO CLINIC LABS - ROCHESTER SUPERIOR DRIVE,4
BIOFIRE,4
LAKELAND REGIONAL HEALTH,4
